"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","KPT (in minutes)","21.7918"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","FOR accuracy (%)","41.7"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Impressions","2332"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Impressions to menu (%)","6.3"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Menu opens","147"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Menu to cart (%)","16.3"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Cart builds","24"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Cart to orders (%)","50"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer funnel","Placed Orders","12"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","New user orders","10"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Repeat user orders","2"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Lapsed user orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Breakfast orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Lunch orders","3"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Snacks orders","3"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Dinner orders","6"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer segmentation","Late night orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Ads","Sales from ads (Rs)","6778.58"
